"ESPCOD","CIENTIFICO","APHIAID","AL3","ESPSIRENO"
"20556","Macropodia","205077","","Macropodia"
"10310","Macroramphosus scolopax","127378","SNS","Macroramphosus scolopax"
"20190","Maja squinado","107350","SCR","Maja squinado"
"10302","Malacocephalus laevis","272392","MLL","Malacocephalus laevis"
"10177","Maurolicus muelleri","127312","MAV","Maurolicus muelleri"
"20225","Medorippe lanata","107288","","Medorippe lanata"
"10265","Melanogrammus aeglefinus","126437","HAD","Melanogrammus aeglefinus"
"10279","Merlangius merlangus","126438","WHG","Merlangius merlangus"
"10283","Merluccius merluccius","126484","HKE","Merluccius merluccius"
"10788","Microchirus","126129","","Microchirus"
"13390","Microchirus azevia","274299","MIA","Microchirus azevia"
"11593","Microchirus boscanion","274300","QOI","Microchirus boscanion"
"10792","Microchirus variegatus","274304","MKG","Microchirus variegatus"
"10277","Micromesistius poutassou","126439","WHB","Micromesistius poutassou"
"10768","Microstomus kitt","127140","LEM","Microstomus kitt"
"10816","Mola mola","127405","MOX","Mola mola"
"33333","Mollusca","51","MOL","Mollusca"
"10260","Molva macrophthalma","126460","SLI","Molva macrophthalma"
"10258","Molva molva","126461","LIN","Molva molva"
"10248","Mora moro","126497","RIB","Mora moro"
"10335","Mugil cephalus","126983","MUF","Mugil cephalus"
"10332","Mugilidae","125546","MUL","Mugilidae"
"10540","Mullus","126034","","Mullus"
"10542","Mullus barbatus","126985","MUT","Mullus barbatus"
"10541","Mullus surmuletus","126986","MUR","Mullus surmuletus"
"20182","Munida","106835","","Munida"
"20231","Munida intermedia","107157","","Munida intermedia"
"10213","Muraena helena","126303","MMH","Muraena helena"
"10207","Muraenidae","125431","MUI","Muraenidae"
"10044","Mustelus mustelus","105822","SMD","Mustelus mustelus"
"10042","Mustelus","105732","SDV","Mustelus spp"
"10185","Myctophum punctatum","126627","MTP","Myctophum punctatum"
"10104","Myliobatis aquila","105860","MYL","Myliobatis aquila"
"10412","Naucrates ductor","126811","NAU","Naucrates ductor"
"20176","Necora puber","107398","LIO","Necora puber"
"10204","Nemichthys scolopaceus","126306","ANM","Nemichthys scolopaceus"
"13399","Neoraja iberica","398306","","Neoraja iberica"
"20194","Nephrops norvegicus","107254","NEP","Nephrops norvegicus"
"10299","Nezumia aequalis","126473","NZA","Nezumia aequalis"
"10508","Oblada melanurus","1577363","SBS","Oblada melanura"
"30188","Octopus vulgaris","140605","OCC","Octopus vulgaris"
"30171","Ommastrephidae","11760","OMZ","Ommastrephidae"
"40152","Ophiomyxa pentagona","125144","","Ophiomyxa pentagona"
"40149","Ophiura","123574","","Ophiura"
"40129","Ophiuridae","123200","","Ophiuridae"
"10486","Pagellus","126079","","Pagellus"
"10489","Pagellus acarne","127057","SBA","Pagellus acarne"
"10490","Pagellus bellottii","127058","PAR","Pagellus bellottii"
"10487","Pagellus bogaraveo","127059","SBR","Pagellus bogaraveo"
"10488","Pagellus erythrinus","127060","PAC","Pagellus erythrinus"
"10520","Pagrus auriga","127061","REA","Pagrus auriga"
"10512","Pagrus pagrus","127063","RPG","Pagrus pagrus"
"20537","Paguridae","106738","CZM","Paguridae"
"20143","Palinurus","107059","","Palinurus"
"20145","Palinurus elephas","107703","SLO","Palinurus elephas"
"40000","Paracentrotus","123387","","Paracentrotus"
"11599","Magnisudis atlantica","126359","","Paralepis atlantica"
"20066","Parapenaeus longirostris","107109","DPS","Parapenaeus longirostris"
"10454","Parapristipoma octolineatum","126945","GRA","Parapristipoma octolineatum"
"40059","Parastichopus regalis","149898","JCR","Parastichopus regalis"
"40058","Parastichopus tremulus","124535","TVK","Parastichopus tremulus"
"20184","Paromola cuvieri","107264","OLV","Paromola cuvieri"
"20528","Pasiphaea tarda","107678","FAC","Pasiphaea tarda"
"11167","Pegusa lascaris","127156","","Pegusa lascaris"
"20059","Penaeus kerathurus","246388","TGS","Penaeus kerathurus"
"10727","Peristedion cataphractum","127233","PJC","Peristedion cataphractum"
"60001","Petrosia (Petrosia) ficiformis","166837","","Petrosia dura"
"10261","Phycis","125773","","Phycis"
"10262","Phycis blennoides","126501","GFB","Phycis blennoides"
"10263","Phycis phycis","126502","FOR","Phycis phycis"
"30305","Pinna nobilis","140780","PQB","Pinna nobilis"
"10000","Pisces","11676","","Pisces"
"10769","Platichthys flesus","127141","FLE","Platichthys flesus"
"10455","Plectorhinchus mediterraneus","126946","GBR","Plectorhinchus mediterraneus"
"20079","Plesionika","107046","","Plesionika"
"20077","Plesionika heterocarpus","107660","LKO","Plesionika heterocarpus"
"10762","Pleuronectes platessa","127143","PLE","Pleuronectes platessa"
"10270","Pollachius pollachius","126440","POL","Pollachius pollachius"
"10269","Pollachius virens","126441","POK","Pollachius virens"
"20157","Polybius henslowii","107399","QPH","Polybius henslowii"
"50017","Polychaeta","883","WOR","Polychaeta"
"11605","Polymetme corythaeola","127300","OLC","Polymetme corythaeola"
"10389","Polyprion americanus","126998","WRF","Polyprion americanus"
"10456","Pomadasys incisus","126947","BGR","Pomadasys incisus"
"10407","Pomatomus saltatrix","151482","BLU","Pomatomus saltatrix"
"10684","Pomatoschistus","125999","","Pomatoschistus"
"00001","Porifera","558","PFR","Porifera"
"60517","Pteroeides griseum","181504","","Pteroeides spinosum"
"10107","Aetomylaeus bovinus","871951","MPO","Pteromylaeus bovinus"
"60507","Pyrosoma atlanticum","137250","QBJ","Pyrosoma atlanticum"
"10089","Raja","105766","","Raja"
"10096","Raja asterias","105881","JRS","Raja asterias"
"10094","Raja brachyura","367297","RJH","Raja brachyura"
"10090","Raja clavata","105883","RJC","Raja clavata"
"10093","Raja microocellata","105885","RJE","Raja microocellata"
"10085","Raja miraletus","105886","JAI","Raja miraletus"
"10091","Raja montagui","105887","RJM","Raja montagui"
"10095","Raja undulata","105891","RJU","Raja undulata"
"10864","Rajidae","105711","RAJ","Rajidae"
"10763","Reinhardtius hippoglossoides","127144","GHL","Reinhardtius hippoglossoides"
"30144","Rondeletiola minor","141448","OTO","Rondeletiola minor"
"30149","Rossia","138481","","Rossia"
"30143","Rossia macrosoma","141449","ROA","Rossia macrosoma"
"30000","Sacoglossa","167","","Sacoglossa"
"10639","Sarda sarda","127021","BON","Sarda sarda"
"10152","Sardina pilchardus","126421","PIL","Sardina pilchardus"
"10141","Sardinella aurita","126422","SAA","Sardinella aurita"
"10532","Sarpa salpa","127064","SLM","Sarpa salpa"
"10463","Sciaena umbra","127010","CBM","Sciaena umbra"
"10641","Scomber colias","151174","VMA","Scomber colias"
"10642","Scomber scombrus","127023","MAC","Scomber scombrus"
"10232","Scomberesox saurus","126392","","Scomberesox saurus saurus"
"10802","Scophthalmus maximus","127149","TUR","Scophthalmus maximus"
"10801","Scophthalmus rhombus","127150","BLL","Scophthalmus rhombus"
"10715","Scorpaena","126171","","Scorpaena"
"10720","Scorpaena notata","127246","SNQ","Scorpaena notata"
"10716","Scorpaena porcus","127247","BBS","Scorpaena porcus"
